Identifies the type of dwelling involved in the sale,Identifies the general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Proximity to various conditions if more than one is present,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date same as construction date if no remodeling or additions,Type of roof,Roof material,Exterior covering on the house,Exterior covering on house if more than one material,Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area if multiple types,Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second floor square feet,Low quality finished square feet all floors,Above grade ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half baths above grade,Bedrooms above grade does not include basement bedrooms,Kitchens above grade,Kitchen Quality,Total rooms above grade does not include bathrooms,Home functionality Assume typical unless deductions are warranted,Number of fireplaces,Fireplace quality,Garage location,The year garage was built,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Pool area in square feet,Value of miscellaneous feature,Month Sold,Year Sold,Type of sale,Condition of sale,Sale price
60,Residential Low-Density,65,8450,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,Two-story,7,5,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,196,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,706,Unfinished,0,150,856,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,856,854,0,1710,1,0,2,1,3,1,Good,8,Typical Functionality,0,No,Attached to the home,2003,Rough Finished,2,548,Average/Typical,Average/Typical,Paved,0,61,0,0,0,2,2008,Warranty Deed-Conventional,Normal Sale,208500
20,Residential Low-Density,80,9600,Paved,Regular,Level,All public Utilities,Frontage on 2 sides of the property,Gentle slope,Veenker,Adjacent to feeder street,Normal,Single-family Detached,One story,6,8,1976,1976,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical-slight dampness allowed,Good Exposure,Average Living Quarters,978,Unfinished,0,284,1262,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1262,0,0,1262,0,1,2,0,3,1,Average/Typical,6,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976,Rough Finished,2,460,Average/Typical,Average/Typical,Paved,298,0,0,0,0,5,2007,Warranty Deed-Conventional,Normal Sale,181500
60,Residential Low-Density,68,11250,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,Two-story,7,5,2001,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,162,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,Mimimum Exposure,Good Living Quarters,486,Unfinished,0,434,920,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,920,866,0,1786,1,0,2,1,3,1,Good,6,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2001,Rough Finished,2,608,Average/Typical,Average/Typical,Paved,0,42,0,0,0,9,2008,Warranty Deed-Conventional,Normal Sale,223500
70,Residential Low-Density,60,9550,Paved,Slightly irregular,Level,All public Utilities,Corner lot,Gentle slope,Crawford,Normal,Normal,Single-family Detached,Two-story,7,5,1915,1970,Gable,Standard (Composite) Shingle,Wood Siding,Wd Shng,None,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Good,No Exposure,Average Living Quarters,216,Unfinished,0,540,756,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,961,756,0,1717,1,0,1,0,3,1,Good,7,Typical Functionality,1,Good-Masonry Fireplace on the main level,Detached from home,1998,Unfinished,3,642,Average/Typical,Average/Typical,Paved,0,35,272,0,0,2,2006,Warranty Deed-Conventional,"Abnormal Sale-trade, foreclosure, short sale",140000
60,Residential Low-Density,84,14260,Paved,Slightly irregular,Level,All public Utilities,Frontage on 2 sides of the property,Gentle slope,Northridge,Normal,Normal,Single-family Detached,Two-story,8,5,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,350,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,Average Exposure,Good Living Quarters,655,Unfinished,0,490,1145,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1145,1053,0,2198,1,0,2,1,4,1,Good,9,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2000,Rough Finished,3,836,Average/Typical,Average/Typical,Paved,192,84,0,0,0,12,2008,Warranty Deed-Conventional,Normal Sale,250000
50,Residential Low-Density,85,14115,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Mitchell,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,5,5,1993,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Average/Typical,Average/Typical,Wood,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,732,Unfinished,0,64,796,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,796,566,0,1362,1,0,1,1,1,1,Average/Typical,5,Typical Functionality,0,No,Attached to the home,1993,Unfinished,2,480,Average/Typical,Average/Typical,Paved,40,30,0,0,700,10,2009,Warranty Deed-Conventional,Normal Sale,143000
20,Residential Low-Density,75,10084,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,One story,8,5,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,186,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical-slight dampness allowed,Average Exposure,Good Living Quarters,1369,Unfinished,0,317,1686,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1694,0,0,1694,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2004,Rough Finished,2,636,Average/Typical,Average/Typical,Paved,255,57,0,0,0,8,2007,Warranty Deed-Conventional,Normal Sale,307000
60,Residential Low-Density,0,10382,Paved,Slightly irregular,Level,All public Utilities,Corner lot,Gentle slope,Northwest Ames,"Near positive off-site feature--park, greenbelt, etc.",Normal,Single-family Detached,Two-story,7,6,1973,1973,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Stone,240,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical-slight dampness allowed,Mimimum Exposure,Average Living Quarters,859,Below Average Living Quarters,32,216,1107,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1107,983,0,2090,1,0,2,1,3,1,Average/Typical,7,Typical Functionality,2,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1973,Rough Finished,2,484,Average/Typical,Average/Typical,Paved,235,204,228,0,350,11,2009,Warranty Deed-Conventional,Normal Sale,200000
50,Residential Medium Density,51,6120,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Old Town,Adjacent to arterial street,Normal,Single-family Detached,One and one-half story: 2nd level finished,7,5,1931,1950,Gable,Standard (Composite) Shingle,Brick Face,Wd Shng,None,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,952,952,Gas forced warm air furnace,Good,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),1022,752,0,1774,0,0,2,0,2,2,Average/Typical,8,Minor Deductions 1,2,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1931,Unfinished,2,468,Fair,Average/Typical,Paved,90,0,205,0,0,4,2008,Warranty Deed-Conventional,"Abnormal Sale-trade, foreclosure, short sale",129900
190,Residential Low-Density,50,7420,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,Brookside,Adjacent to arterial street,Adjacent to arterial street,2fmCon,One and one-half story: 2nd level unfinished,5,6,1939,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,851,Unfinished,0,140,991,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1077,0,0,1077,1,0,1,0,2,2,Average/Typical,5,Typical Functionality,2,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1939,Rough Finished,1,205,Good,Average/Typical,Paved,0,4,0,0,0,1,2008,Warranty Deed-Conventional,Normal Sale,118000
